#,Chat #,Kennung,Startzeit: Datum,Startzeit: Zeit,Letzte Aktivität: Datum,Letzte Aktivität: Zeit,Name,Beschreibung,Teilnehmer,Anzahl der Anhänge,Quelle,Konto,Gelöschte - Chat,Tag-Hinweis - Chat,Rekonstruiert,Manuell decodiert,Instant Message #,Von,An,Zeitstempel der Teilnehmer,Cc,Bcc,Priorität,Betreff,Text,Status,Plattform,Label,Ort,Zeitstempel: Datum,Zeitstempel: Zeit,Zugestellt: Datum,Zugestellt: Zeit,Gelesen: Datum,Gelesen: Zeit,Deletion Date: Datum,Deletion Date: Zeit,Anhang #1,Anhang #1 - Details,Gelöschte - Instant Message,Tag-Hinweis - Instant Message,Quelldatei-Informationen,Mit Sternchen markierte Nachricht,Mitteilung Rekonstruiert,Mitteilung Manuell decodiert
1,1,4915225737497@s.whatsapp.net,17.12.2022,17.12.2022 20:01:00(UTC+1),19.12.2022,19.12.2022 11:49:24(UTC+1),,,"4915225737497@s.whatsapp.net Helmut Franz 
491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
",,WhatsApp,491756643753@s.whatsapp.net,,,,,1,4915225737497@s.whatsapp.net Helmut Franz,,,,,,,Moin Siggi, lang nichts gehört. Wie gehts dir?,,Mobile,,,17.12.2022,17.12.2022 20:01:00(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x1576F (Tabelle: message, Größe: 436752 Bytes)
63,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,14,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,"Hey Huberta, 
Sry, hab voll vergessen dich anzurufen. Wir wollten ja nochmal über die räder reden. 
Ich hab morgen gegen 14 Uhr Mittagspause oder sonst einfach spontan",Gelesen,Mobile,,,04.12.2022,04.12.2022 21:37:55(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CBAD (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
64,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,15,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,,Gelesen,Mobile,,,05.12.2022,05.12.2022 18:58:03(UTC+1),,,,,,,IMG-20221205-WA0000.jpg,"Das könnte das erste Fahrrad sein oder?
https://mmg.whatsapp.net/d/f/Ama7dXicUi2QHt__THeVXNYkm3y5nGhJyJNdiENVxRzf.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CC9D (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/Sent/IMG-20221205-WA0000.jpg :  (Größe: 69608 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x17120 (Tabelle: message_media, Größe: 436752 Bytes)",Nein,,
65,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,16,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Würde sich voll lohnen!,Gelesen,Mobile,,,05.12.2022,05.12.2022 18:58:22(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CD11 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
66,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,17,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Solche Fahrräder sind gerade auch voll gefragt, bei den aktuellen Lieferschwierigkeiten sollte das gut weggehen,Gelesen,Mobile,,,05.12.2022,05.12.2022 19:00:05(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10CD71 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
67,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,18,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Ja genau das ist es!,,Mobile,,,06.12.2022,06.12.2022 16:20:15(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10DA2A (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
68,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,19,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,ich klingel gleich mal durch,  rannte reden wir über den Drahtesel und wie die Nummer ablaufen könnte.,,Mobile,,,06.12.2022,06.12.2022 16:20:49(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D97C (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
69,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,20,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,gut das es gleich geklappt hat. dann werde ich heute abend mal versuchen das Fahrrad zu besorgen. wir reden dann morgen mal drüber wie du an das fahrrad kommen könntest und überlegen uns eine gute Übergabe!,,Mobile,,,06.12.2022,06.12.2022 16:49:27(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D862 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
70,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,21,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Machen wir so!,Gelesen,Mobile,,,06.12.2022,06.12.2022 19:45:48(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D80D (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
71,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,22,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Halt gerne weiter Ausschau,Gelesen,Mobile,,,06.12.2022,06.12.2022 19:46:15(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D758 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
72,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,23,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Wie ist es gelaufen?,Gelesen,Mobile,,,07.12.2022,07.12.2022 10:40:11(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D6FE (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
73,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,24,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Morgen Siggi,  ich hab gestern abend zugeschlagen. der gute Drahtesel befindet sich jetzt in unserem besitzt! ich denke einige Reperaturen müssten wir noch vornehmen. machen wir es wie immer über ebay?,,Mobile,,,08.12.2022,08.12.2022 10:22:45(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D5EC (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
74,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,25,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Hast du noch deinen ebay-account?,,Mobile,,,08.12.2022,08.12.2022 10:26:22(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D583 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
75,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,26,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,und wie heißt du auf ebay nochmal gleich? dann würde ich mir das mal anschauen.,,Mobile,,,08.12.2022,08.12.2022 10:26:47(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D4EC (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
76,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,27,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,Übergabe Ort für das fahrrad machen wir dann noch aus?,,Mobile,,,08.12.2022,08.12.2022 10:27:02(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D46C (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
77,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,28,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,"Gut. Um die Reparatur kümmere ich mich. 
Die Übergabe machen wir am besten relativ zentral in Lüneburg, da kommen wir beide nach der Arbeit gut hin.",Gelesen,Mobile,,,08.12.2022,08.12.2022 12:01:23(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D390 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
78,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,29,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Genau, Ebay hat sich bewährt,Gelesen,Mobile,,,08.12.2022,08.12.2022 12:01:41(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D32B (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
79,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,30,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,"Morgen Siggi, ich habe gestern auf dem Nachhauseweg noch ein Rad gesehen was dir sehr gefallen wird denke ich. Habe es jetzt einfach mal gleich mitgenommen. so eine Situation ergibt sich selten! 
hab einen schönen tag, die rollende Huberta ,)",,Mobile,,,12.12.2022,12.12.2022 09:26:24(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D1F1 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
80,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,31,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Das klingt sehr gut!,Gelesen,Mobile,,,12.12.2022,12.12.2022 18:58:00(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D196 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
81,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,32,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Zwei Fahrräder zu verkaufen ist ja unauffällig,Gelesen,Mobile,,,12.12.2022,12.12.2022 18:58:35(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D120 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
82,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,33,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Passt dir eine Übergabe am Mittwoch?,Gelesen,Mobile,,,12.12.2022,12.12.2022 18:58:53(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db : 0x10D0B5 (Tabelle: message, Größe: 1150976 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
83,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,34,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Vielleicht könnten wir die Räder dann noch vor Weihnachten verticken,Gelesen,Mobile,,,12.12.2022,12.12.2022 18:59:11(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x161DD (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
84,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,35,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,perfekt, dann machen wir die Übergabe der Fahrräder morgen. hast du eine Ort der sich gut eignet? ich muss ja irgendwo mit meinem Transporter hinkommen können.,,Mobile,,,13.12.2022,13.12.2022 08:56:04(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x160F2 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
85,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,36,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,und dann stellst du die räder einfach gleich ein, dann kriegen wir die vielleicht echt bald schon weg.,,Mobile,,,13.12.2022,13.12.2022 08:56:37(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x16043 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
86,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,37,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,"Kennst du das McFit am Bahnhof? Ich würd vorschlagen, dass wir uns da treffen und die Fahrräder übergeben.
Passt dir ca. 15:15?",Gelesen,Mobile,,,14.12.2022,14.12.2022 13:35:30(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15F7A (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
87,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,38,491756654642@s.whatsapp.net Huberta d. Große,,,,,,,machen wir so. dann bring ich dir die Räder dahin!,,Mobile,,,14.12.2022,14.12.2022 13:36:28(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15EFE (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/databases/wa.db-wal : 0x5A12 (Tabelle: wa_contacts, Größe: 420272 Bytes)",Nein,,
88,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,39,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Gut,Gelesen,Mobile,,,14.12.2022,14.12.2022 13:36:55(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15EB6 (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
89,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,40,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,Bin da,Gelesen,Mobile,,,14.12.2022,14.12.2022 15:21:40(UTC+1),,,,,,,,,,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15E6A (Tabelle: message, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)",Nein,,
90,11,491756654642@s.whatsapp.net,29.11.2022,29.11.2022 10:51:11(UTC+1),16.12.2022,16.12.2022 19:02:49(UTC+1),,,"491756643753@s.whatsapp.net Siegfried Müller (Eigentümer) 
491756654642@s.whatsapp.net Huberta d. Große 
",7,WhatsApp,491756643753@s.whatsapp.net,,,,,41,491756643753@s.whatsapp.net Siegfried Müller,,,,,,,,Gelesen,Mobile,,,14.12.2022,14.12.2022 15:21:46(UTC+1),,,,,,,IMG-20221214-WA0001.jpg,"https://mmg.whatsapp.net/d/f/Are1T84RzYy90P_Kf4LH5IiLP1h_JPWloVKpkI2Nk6U6.enc
",,,"userdata (ExtX)/Root/data/com.whatsapp/databases/msgstore.db-wal : 0x15E1E (Tabelle: message, message_media, Größe: 436752 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/registration.RegisterPhone.xml : 0x87 (Größe: 707 Bytes)
userdata (ExtX)/Root/data/com.whatsapp/shared_prefs/startup_prefs.xml : 0x151 (Größe: 771 Bytes)
userdata (ExtX)/Root/media/0/WhatsApp/Media/WhatsApp Images/Sent/IMG-20221214-WA0001.jpg :  (Größe: 131184 Bytes)",Nein,,
